Accession,Description
BDA39553.1,hypothetical protein CPARK_000039200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39552.1,heat-inducible transcription repressor HrcA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39551.1,thiosulfate sulfurtransferase GlpE [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39550.1,50S ribosomal protein L21 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39549.1,50S ribosomal protein L27 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39548.1,hypothetical protein CPARK_000038700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39547.1,hypothetical protein CPARK_000038600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39546.1,ferredoxin [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39545.1,4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39544.1,hypothetical protein CPARK_000038300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39543.1,RNA polymerase sigma factor RpoD [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39542.1,hypothetical protein CPARK_000038100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39541.1,farnesyl diphosphate synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39540.1,phosphopantetheine adenylyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39539.1,hypothetical protein CPARK_000037800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39538.1,hypothetical protein CPARK_000037700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39537.1,hypothetical protein CPARK_000037600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39536.1,phosphoglucomutase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39535.1,molybdate-binding protein ModA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39534.1,elongation factor 4 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39533.1,7-carboxy-7-deazaguanine synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39532.1,ribonuclease HI [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39531.1,hypothetical protein CPARK_000037000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39530.1,2
BDA39529.1,putative TrmH family tRNA/rRNA methyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39528.1,mini-ribonuclease 3 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39527.1,anti-sigma-B factor antagonist [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39526.1,ribosome maturation factor RimM [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39525.1,hypothetical protein CPARK_000036400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39524.1,periplasmic [NiFeSe] hydrogenase large subunit [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39523.1,periplasmic [NiFe] hydrogenase small subunit [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39522.1,hypothetical protein CPARK_000036100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39521.1,hypothetical protein CPARK_000036000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39520.1,GTP pyrophosphokinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39519.1,bifunctional protein GlmU [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39518.1,hypothetical protein CPARK_000035700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39517.1,CTP synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39516.1,hypothetical protein CPARK_000035500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39515.1,hypothetical protein CPARK_000035400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39514.1,phosphoglycolate phosphatase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39513.1,tyrosine--tRNA ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39512.1,hypothetical protein CPARK_000035100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39511.1,lipopolysaccharide assembly protein B [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39510.1,hypothetical protein CPARK_000034900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39509.1,bifunctional ligase/repressor BirA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39508.1,hypothetical protein CPARK_000034700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39507.1,NAD(P)H-quinone oxidoreductase subunit 3 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39506.1,NAD(P)H-quinone oxidoreductase subunit K 1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39505.1,NAD(P)H-quinone oxidoreductase subunit J [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39504.1,transcription-repair-coupling factor [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39503.1,hypothetical protein CPARK_000034200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39502.1,hypothetical protein CPARK_000034100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39501.1,serine hydroxymethyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39500.1,energy-coupling factor transporter ATP-binding protein EcfA1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39499.1,hypothetical protein CPARK_000033800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39498.1,hypothetical protein CPARK_000033700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39497.1,hypothetical protein CPARK_000033600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39496.1,isoleucine--tRNA ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39495.1,L-arabinose transport system permease protein AraQ [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39494.1,photosystem I assembly protein Ycf3 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39493.1,glutamyl-tRNA(Gln) amidotransferase subunit C [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39492.1,ribonuclease E [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39491.1,sn-glycerol-3-phosphate import ATP-binding protein UgpC [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39490.1,biotin carboxyl carrier protein of acetyl-CoA carboxylase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39489.1,elongation factor P [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39488.1,aspartate-semialdehyde dehydrogenase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39487.1,4-hydroxy-tetrahydrodipicolinate synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39486.1,ribonuclease J1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39485.1,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39484.1,UvrABC system protein C [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39483.1,putative helicase HelY [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39482.1,leucine--tRNA ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39481.1,phosphoglycerate kinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39480.1,glyceraldehyde-3-phosphate dehydrogenase 1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39479.1,hypothetical protein CPARK_000031700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39478.1,asparagine--tRNA ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39477.1,1-deoxy-D-xylulose 5-phosphate reductoisomerase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39476.1,hypothetical protein CPARK_000031500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39475.1,ribonuclease R [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39474.1,hypothetical protein CPARK_000031300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39473.1,hypothetical protein CPARK_000031200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39472.1,glutaredoxin 4 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39471.1,transcriptional regulatory protein SrrA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39470.1,hypothetical protein CPARK_000030900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39469.1,demethylmenaquinone methyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39468.1,lactoylglutathione lyase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39467.1,magnesium-chelatase 38 kDa subunit [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39466.1,monocarboxylate 2-oxoacid-binding periplasmic protein [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39465.1,hypothetical protein CPARK_000030400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39464.1,hypothetical protein CPARK_000030300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39463.1,hypothetical protein CPARK_000030200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39462.1,D-3-phosphoglycerate dehydrogenase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39461.1,ribosomal protein L11 methyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39460.1,hypothetical protein CPARK_000029900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39459.1,cobalt-precorrin-6A reductase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39458.1,cobyrinate a
BDA39457.1,hypothetical protein CPARK_000029600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39456.1,hypothetical protein CPARK_000029500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39455.1,4-hydroxy-tetrahydrodipicolinate reductase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39454.1,chaperone protein dnaK2 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39453.1,hypothetical protein CPARK_000029200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39452.1,hypothetical protein CPARK_000029100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39451.1,hypothetical protein CPARK_000029000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39450.1,N-acetylmuramic acid 6-phosphate etherase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39449.1,hypothetical protein CPARK_000028800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39448.1,protein PucC [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39447.1,cytochrome b6-f complex subunit PetG [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39446.1,hypothetical protein CPARK_000028500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39445.1,50S ribosomal protein L32 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39444.1,hypothetical protein CPARK_000028300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39443.1,hypothetical protein CPARK_000028200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39442.1,hypothetical protein CPARK_000028100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39441.1,ferredoxin [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39440.1,2-succinylbenzoate--CoA ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39439.1,hypothetical protein CPARK_000027800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39438.1,hypothetical protein CPARK_000027700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39437.1,hypothetical protein CPARK_000027600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39436.1,hypothetical protein CPARK_000027500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39435.1,RNA polymerase sigma factor SigA2 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39434.1,hypothetical protein CPARK_000027300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39433.1,chaperone protein ClpB 1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39432.1,hypothetical protein CPARK_000027100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39431.1,ribonucleoside-diphosphate reductase subunit beta [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39430.1,hypothetical protein CPARK_000026900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39429.1,adenosylcobinamide-GDP ribazoletransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39428.1,hypothetical protein CPARK_000026700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39427.1,hypothetical protein CPARK_000026600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39426.1,nucleoside diphosphate kinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39425.1,hypothetical protein CPARK_000026400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39424.1,UDP-N-acetylglucosamine 4-epimerase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39423.1,hypothetical protein CPARK_000026200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39422.1,23S rRNA (uracil-C(5))-methyltransferase RlmCD [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39421.1,hypothetical protein CPARK_000026000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39420.1,hypothetical protein CPARK_000025900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39419.1,hypothetical protein CPARK_000025800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39418.1,cytochrome c oxidase subunit 1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39417.1,putative cytochrome c oxidase subunit 3 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39416.1,hypothetical protein CPARK_000025500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39415.1,orotidine 5'-phosphate decarboxylase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39414.1,hypothetical protein CPARK_000025300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39413.1,hypothetical protein CPARK_000025200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39412.1,putative HMP/thiamine import ATP-binding protein YkoD [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39411.1,energy-coupling factor transporter transmembrane protein EcfT [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39410.1,DNA primase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39409.1,undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39408.1,flavin prenyltransferase UbiX [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39407.1,L-2-hydroxyglutarate oxidase LhgO [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39406.1,hypothetical protein CPARK_000024500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39405.1,hypothetical protein CPARK_000024400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39404.1,hypothetical protein CPARK_000024300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39403.1,cobalt-precorrin-4 C(11)-methyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39402.1,hypothetical protein CPARK_000024100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39401.1,shikimate dehydrogenase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39400.1,proline--tRNA ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39399.1,hypothetical protein CPARK_000023800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39398.1,pyridoxine 5'-phosphate synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39397.1,Ycf54-like protein [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39396.1,cytochrome b6-f complex subunit 8 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39395.1,oligopeptidase A [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39394.1,oxygen-dependent coproporphyrinogen-III oxidase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39393.1,putative zinc protease [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39392.1,hypothetical protein CPARK_000023100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39391.1,dihydroorotate dehydrogenase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39390.1,hypothetical protein CPARK_000022900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39389.1,glucose-6-phosphate 1-dehydrogenase 2 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39388.1,50S ribosomal protein L9 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39387.1,hypothetical protein CPARK_000022600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39386.1,hypothetical protein CPARK_000022500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39385.1,ATP-dependent Clp protease proteolytic subunit [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39384.1,hypothetical protein CPARK_000022300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39383.1,cyclic AMP receptor protein [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39382.1,hypothetical protein CPARK_000022100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39381.1,glutamine synthetase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39380.1,hypothetical protein CPARK_000021900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39379.1,50S ribosomal protein L35 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39378.1,50S ribosomal protein L20 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39377.1,putative cystathionine beta-synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39376.1,hypothetical protein CPARK_000021500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39375.1,hypothetical protein CPARK_000021400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39374.1,hypothetical protein CPARK_000021300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39373.1,oxygen-independent coproporphyrinogen III oxidase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39372.1,aspartate carbamoyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39371.1,UDP-glucose 6-dehydrogenase TuaD [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39370.1,UDP-glucose 4-epimerase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39369.1,pyruvate kinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39368.1,hypothetical protein CPARK_000020700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39367.1,phenylalanine--tRNA ligase alpha subunit [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39366.1,3-oxoacyl-[acyl-carrier-protein] synthase 2 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39365.1,acyl carrier protein [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39364.1,UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39363.1,23S rRNA (guanosine-2'-O-)-methyltransferase RlmB [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39362.1,phenylalanine--tRNA ligase beta subunit [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39361.1,glutathione-regulated potassium-efflux system protein KefC [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39360.1,protein GrpE [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39359.1,DNA mismatch repair protein MutS [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39358.1,undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39357.1,thymidylate kinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39356.1,hypothetical protein CPARK_000019500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39355.1,aminomethyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39354.1,hypothetical protein CPARK_000019300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39353.1,gluconeogenesis factor [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39352.1,NAD(P)H-quinone oxidoreductase subunit H [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39351.1,hypothetical protein CPARK_000019000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39350.1,D-glycero-alpha-D-manno-heptose 7-phosphate kinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39349.1,D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39348.1,putative transport protein YhhT [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39347.1,7-cyano-7-deazaguanine synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39346.1,shikimate kinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39345.1,hypothetical protein CPARK_000018400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39344.1,bifunctional adenosylcobalamin biosynthesis protein CobU [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39343.1,glycine oxidase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39342.1,hypothetical protein CPARK_000018100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39341.1,phosphoglucosamine mutase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39340.1,metalloprotease MmpA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39339.1,thymidylate synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39338.1,deoxyuridine 5'-triphosphate nucleotidohydrolase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39337.1,tRNA-specific adenosine deaminase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39336.1,Ktr system potassium uptake protein A [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39335.1,Ktr system potassium uptake protein B [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39334.1,lysine--tRNA ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39333.1,Fe/S biogenesis protein NfuA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39332.1,chaperone protein dnaK2 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39331.1,curved DNA-binding protein [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39330.1,hypothetical protein CPARK_000016900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39329.1,signal peptidase I T [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39328.1,hypothetical protein CPARK_000016700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39327.1,hypothetical protein CPARK_000016600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39326.1,30S ribosomal protein S6 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39325.1,hypothetical protein CPARK_000016400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39324.1,alanine racemase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39323.1,beta-lactamase hydrolase-like protein [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39322.1,tRNA pseudouridine synthase B [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39321.1,mannose-1-phosphate guanylyltransferase 1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39320.1,protein kinase UbiB [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39319.1,cell division protein SepF [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39318.1,hypothetical protein CPARK_000015700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39317.1,phospho-2-dehydro-3-deoxyheptonate aldolase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39316.1,hypothetical protein CPARK_000015500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39315.1,hypothetical protein CPARK_000015400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39314.1,ribosomal silencing factor RsfS [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39313.1,hypothetical protein CPARK_000015200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39312.1,hypothetical protein CPARK_000015100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39311.1,chaperone protein DnaJ [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39310.1,hypothetical protein CPARK_000014900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39309.1,NAD(P)H-quinone oxidoreductase subunit L [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39308.1,hypothetical protein CPARK_000014700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39307.1,DNA repair protein RecN [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39306.1,sulfur carrier protein CysO [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39305.1,hypothetical protein CPARK_000014400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39304.1,putative phospholipid ABC transporter permease protein MlaE [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39303.1,hypothetical protein CPARK_000014200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39302.1,hypothetical protein CPARK_000014100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39301.1,hypothetical protein CPARK_000014000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39300.1,hypothetical protein CPARK_000013900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39299.1,GTPase Era [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39298.1,hypothetical protein CPARK_000013700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39297.1,hypothetical protein CPARK_000013600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39296.1,hypothetical protein CPARK_000013500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39295.1,hypothetical protein CPARK_000013400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39294.1,uracil phosphoribosyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39293.1,hypothetical protein CPARK_000013200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
